일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-07-01,완도(170),X,30.6,28.6,25.2,22.3,90.3,O,주의,X,매우높음
2022-07-01,고창(172),O,33,33.3,28,22.9,71.3,O,관심,X,매우높음
2022-07-01,제주(184),O,33.5,32.4,28.3,25.5,81.6,O,주의,X,매우높음
2022-07-01,진주(192),X,32.8,31.9,26.8,22.5,81.4,O,관심,X,매우높음
2022-07-01,양평(202),X,31.7,31.2,25.5,20.4,81.4,O,관심,X,높음
2022-07-01,이천(203),X,32.9,32.2,25.9,20.2,84.5,O,관심,X,높음
2022-07-01,인제(211),X,31.3,31.1,24.9,20.1,83.5,O,관심,X,높음
2022-07-01,홍천(212),X,31.9,32.1,26,20.4,77.5,O,관심,X,높음
2022-07-01,태백(216),X,31.1,31.7,25.1,19.8,70.5,X, ,X,매우높음
2022-07-01,정선군(217),X,32.1,32.6,25.8,20.5,73.1,O,관심,X,매우높음
2022-07-01,제천(221),X,31.9,32,25.9,21.2,82.5,O,관심,X,매우높음
2022-07-01,보은(226),X,32.5,32.6,26.7,22.1,80,O,관심,X,매우높음
2022-07-01,천안(232),X,32.1,31.7,26.8,21.9,80.5,O,관심,X,매우높음
2022-07-01,보령(235),X,31.9,31.2,27.1,24,77.8,X,관심,X,매우높음
2022-07-01,부여(236),O,33.5,33.4,27.3,22.2,79,O,주의,X,매우높음
2022-07-01,금산(238),X,32.6,32.9,26.9,20.8,75.6,X,관심,X,매우높음
2022-07-01,세종(239),X,32.9,33.1,28,23,71.8,O,주의,X,매우높음
2022-07-01,부안(243),O,33,33,27.2,23.2,78.9,X,관심,X,매우높음
2022-07-01,임실(244),X,32.1,31.9,25.8,20.5,78.8,O,주의,X,매우높음
2022-07-01,정읍(245),O,33,33.3,27.6,22.5,73.8,O,관심,X,높음
2022-07-01,남원(247),X,32.5,33.1,27.2,21.3,72.5,O,관심,X,매우높음
2022-07-01,장수(248),X,31.2,31.2,24.8,19,80.5,X,관심,X,매우높음
2022-07-01,영광군(252),O,33.2,33.1,27.7,23.6,75.4,O,관심,X,매우높음
2022-07-01,김해시(253),O,33.4,32.7,27.4,22.8,79.6,O,주의,X,매우높음
2022-07-01,순창군(254),O,33.2,33.1,27,21.5,75.8,O,주의,X,매우높음
2022-07-01,양산시(257),O,33.7,33.4,27.7,22.6,76.5,O,관심,X,매우높음
2022-07-01,강진군(259),X,32.7,31.8,27.5,23,78.5,O,주의,X,매우높음
2022-07-01,장흥(260),X,31.1,30,26.2,22.2,85.8,O,주의,X,매우높음
2022-07-01,해남(261),X,32,30.6,26.7,23.5,82.4,O,주의,X,매우높음
2022-07-01,고흥(262),X,30.9,29.9,25.7,21.7,86,O,주의,X,매우높음
2022-07-01,의령군(263),O,33.6,33.9,27.6,22.2,74.1,O,주의,X,매우높음
2022-07-01,함양군(264),O,34.2,33.9,26.6,21.4,81.5,O,주의,X,매우높음
2022-07-01,진도군ASOS(268),X,31.3,29.9,25.6,21.7,84.9,O,주의,X,매우높음
2022-07-01,봉화(271),X,30.5,31.1,24.8,19.5,80.8,O,주의,X,매우높음
2022-07-01,영주(272),X,32.6,32.4,25.7,20.6,84.5,O,주의,X,매우높음
2022-07-01,문경(273),O,33.5,32.6,26.9,21.5,80.4,O,주의,X,매우높음
2022-07-01,청송군(276),O,33.5,35.1,27.7,21.1,67.3,O,주의,X,매우높음
2022-07-01,영덕(277),X,32.5,32.2,26.8,21.6,74,O,경고,X,매우높음
2022-07-01,의성(278),O,34.3,35.6,28,21.1,73,O,경고,X,매우높음
2022-07-01,구미(279),O,33.7,34.4,27.3,22.2,74.4,O,주의,X,매우높음
2022-07-01,영천(281),O,33.3,34.5,28,21.3,69.3,O,경고,X,매우높음
2022-07-01,경주시(283),O,34.9,35.6,28.4,21.5,72,O,경고,X,매우높음
2022-07-01,거창(284),X,32.8,32.8,26.6,21.5,78.1,O,주의,X,매우높음
2022-07-01,합천(285),O,33,33.7,27.7,23.7,71.4,O,관심,X,매우높음
2022-07-01,밀양(288),O,33.4,34.8,28.2,22.7,65.5,O,주의,X,매우높음
2022-07-01,산청(289),O,33.1,32.6,26.9,22.1,79.8,O,관심,X,매우높음
2022-07-01,거제(294),X,32,31.2,26,22.5,81.6,X, ,X,매우높음
2022-07-01,남해(295),X,31.7,30.5,26,22.6,83.9,X,관심,X,매우높음
2022-07-01,부천(433),X,30.9,30.3,26,22.1,77,O,관심,X,매우높음
2022-07-01,안양(434),X,28.6,31.1,27,23.4,,O,관심,X,높음
2022-07-01,광명(437),X,32,31.4,27.4,24.2,75,O,관심,X,매우높음
2022-07-01,군포(438),X,31.9,31.9,26.6,22.5,76,O,관심,X,높음
2022-07-01,김포(441),X,,30.8,26.6,22.7,,O,관심,X,매우높음
2022-07-01,하남(444),X,32.6,32.4,25.7,20.9,78,O,관심,X,높음
2022-07-01,의왕(445),X,,,,,,O,관심,X,높음
2022-07-01,포천(504),X,31.9,31.5,26.2,21,81,O,관심,X,높음
2022-07-01,가평조종(505),X,32,31.1,25.3,20.2,86,O,관심,X,높음
2022-07-01,안성(516),X,32.5,32.2,26.5,21.3,81,O,관심,X,매우높음
2022-07-01,간성(517),O,33,30.9,24.5,20.6,89,X,관심,X,매우높음
2022-07-01,평창(526),X,31.9,33.1,25.5,20.4,74,O,관심,X,매우높음
2022-07-01,의정부(532),O,33.1,31.5,26.4,21.7,89,O,관심,X,높음
2022-07-01,횡성(536),X,32.8,32.4,25.8,20.1,86,O,관심,X,매우높음
2022-07-01,고양(540),O,33.3,32.5,26.9,23.1,78,O,관심,X,매우높음
2022-07-01,남양주(541),X,32.5,32.2,26,20.2,81,O,관심,X,높음
2022-07-01,안산(545),X,31.9,31.2,26.2,21.4,83,O,관심,X,높음
2022-07-01,경기광주(546),X,31.8,31.2,24.7,20,84,O,관심,X,높음
2022-07-01,여주(548),X,32.2,31,25.4,20.1,85,O,관심,X,높음
2022-07-01,용인(549),X,31.2,30.8,25.4,20.4,79,O,관심,X,높음
2022-07-01,오산(550),X,31.7,31.6,26.9,22.5,71,O,관심,X,매우높음
2022-07-01,평택(551),X,32.6,32.5,27.7,22.9,78,O,관심,X,매우높음
2022-07-01,화천(555),O,33.6,32.8,25.1,19.1,88,O,관심,X,높음
2022-07-01,양구(556),X,31.6,31.8,25.1,19.3,77,O, ,X,높음
2022-07-01,시흥(565),X,32.2,31.1,26.6,22.9,83,O,관심,X,매우높음
2022-07-01,구리(569),X,32.5,32.7,26.7,21.2,75,O,관심,X,높음
2022-07-01,화성(571),X,32.2,,,,,O,관심,X,매우높음
2022-07-01,성남(572),X,31.7,31.4,26.1,21.4,79,O,관심,X,매우높음
2022-07-01,과천(590),X,32.8,32,26.4,21,83,O,관심,X,높음
2022-07-01,양주(598),X,31.6,31.2,26.5,20.9,80,O,관심,X,높음
2022-07-01,단양(601),O,33.2,33.5,27.3,21.9,78,O,관심,X,매우높음
2022-07-01,진천(602),O,33.2,33.5,27.8,22.4,77,O,관심,X,매우높음
2022-07-01,괴산(603),X,32.9,32.8,27,22,79,O,관심,X,매우높음
2022-07-01,옥천(604),O,34,34.8,27.9,22.2,76,O,주의,X,매우높음
2022-07-01,홍북(608),X,32.7,32.1,26.7,22.4,78,O,관심,X,매우높음
2022-07-01,공주(612),O,33.5,33.8,27.9,22,72,O,주의,X,매우높음
2022-07-01,서천(614),O,33.3,32.3,26.5,22.8,83,X,관심,X,매우높음
2022-07-01,논산(615),O,33.2,33.3,27.7,22,76,O,주의,X,매우높음
2022-07-01,당진(616),X,32.9,31.9,27,23.5,82,O,관심,X,매우높음
2022-07-01,청양(618),O,33.4,32.8,26.9,22.4,80,O,주의,X,매우높음
2022-07-01,음성(619),X,32.3,31.9,26.1,21.6,81,O,관심,X,매우높음
2022-07-01,증평(623),O,33,32.7,27.6,22.3,78,O,관심,X,매우높음
2022-07-01,태안(627),X,32,30,26.1,23.3,89,X,관심,X,매우높음
2022-07-01,예산(628),X,32.7,32.1,27.7,23.2,78,O,관심,X,매우높음
2022-07-01,아산(634),O,34.3,33.9,28.4,23.7,75,O,관심,X,매우높음
2022-07-01,계룡(636),X,32.3,32.8,26.1,20.1,74,X,관심,X,매우높음
2022-07-01,연천청산(652),X,,,,,,O,관심,X,높음
2022-07-01,양양(670),X,32.9,30.5,25,21.2,,X,관심,X,매우높음
2022-07-01,무안(699),X,32.7,32.9,27.4,22.6,75,O,관심,X,매우높음
2022-07-01,무주(701),X,32.9,34.1,27.4,20.3,70,O,관심,X,매우높음
2022-07-01,익산(702),O,33.6,32.5,27.6,22.8,83,O,주의,X,매우높음
2022-07-01,진안(703),X,31.6,31.4,25.1,19.2,80,O,관심,X,매우높음
2022-07-01,담양(706),O,34.7,33.6,27.7,22.6,83,O,주의,X,매우높음
2022-07-01,구례(709),O,33.6,33.3,27.3,22.3,80,O,주의,X,매우높음
2022-07-01,나주(710),O,33.5,32.8,27,21.9,79,O,주의,X,매우높음
2022-07-01,순천시(712),X,32.4,31.2,27.5,23.9,82,O,주의,X,매우높음
2022-07-01,광양읍(713),X,32.7,33,27.7,23.4,74,O,주의,X,매우높음
2022-07-01,장성(730),O,33.2,33.5,27.3,22.1,73,O,주의,X,매우높음
2022-07-01,영암(731),X,32.9,32,27.3,22.8,77,O,주의,X,매우높음
2022-07-01,보성(732),X,32,31.1,26.6,21.4,81,O,주의,X,매우높음
2022-07-01,완주(734),O,33.8,33.8,27.2,21.7,79,O,주의,X,매우높음
2022-07-01,김제(737),X,31.4,32.8,27.6,23.9,68,O,관심,X,매우높음
2022-07-01,화순(741),X,32.8,33.3,27.1,21.9,72,O,주의,X,매우높음
2022-07-01,함평(754),O,33,32.7,27.3,22.6,78,O,관심,X,매우높음
2022-07-01,곡성(768),O,33.4,33.4,26.8,21.6,77,O,주의,X,매우높음
2022-07-01,압해도(789),X,32.3,31.8,26.8,22.7,78,X,관심,X,매우높음
2022-07-01,영양(801),O,33.8,35.3,27.8,21.9,73,O,주의,X,매우높음
2022-07-01,성주(810),O,34,35.7,28.8,22.4,66,O,주의,X,매우높음
2022-07-01,고령(812),O,33.3,34.5,28,23,73,O,주의,X,매우높음
2022-07-01,청도(813),O,33.3,33.6,27.6,21.8,74,O,주의,X,매우높음
2022-07-01,예천(815),O,33.4,34.3,27.5,21.7,75,O,주의,X,매우높음
2022-07-01,김천(822),O,34.6,34.4,26.6,20.4,84,O,주의,X,매우높음
2022-07-01,군위(823),O,34.4,34.7,27.6,21.7,80,O,주의,X,매우높음
2022-07-01,칠곡(825),O,34.2,34.5,28.5,23,77,O,주의,X,매우높음
2022-07-01,경산(827),O,34.3,35.5,29.3,23.8,63,O,경고,X,매우높음
2022-07-01,삼척(876),X,32.2,32.3,27.3,21.7,71,O,주의,X,매우높음
2022-07-01,속초(90),X,30.8,30.7,24.1,20.7,85.8,X, ,X,매우높음
2022-07-01,삼천포(907),X,31.1,29.3,25.5,22.3,86,O,관심,X,매우높음
2022-07-01,고성(918),X,31.7,30.5,26.1,22.4,86,X,관심,X,매우높음
2022-07-01,창녕(919),O,34.1,34.1,28.3,23.3,74,O,주의,X,매우높음
2022-07-01,함안(920),O,33.6,33.1,27,21.9,81,O,주의,X,매우높음
2022-07-01,북춘천(93),X,32.6,31.9,26,20.3,83.4,O,관심,X,높음
2022-07-01,하동(932),X,32.8,32.5,27,22.8,81,O,관심,X,매우높음
2022-07-01,철원(95),X,31.6,30.9,26.1,20.4,82.4,O,관심,X,보통
2022-07-01,동두천(98),X,32,30.9,26.1,21,85.4,O,관심,X,높음
2022-07-01,파주(99),X,31.4,29.8,25.9,20.7,87.8,O,관심,X,높음
2022-07-02,북강릉(104),X,30.8,29.9,26,22.1,80.5,O,주의,X,매우높음
2022-07-02,동해(106),X,30.4,29.4,24.5,21.2,84.1,O,주의,X,매우높음
2022-07-02,서울(108),O,33.7,33.8,28.8,24,72.8,O,주의,X,매우높음
2022-07-02,인천(112),X,31.8,30.6,26.5,23.4,80.8,O,주의,X,매우높음
2022-07-02,원주(114),X,32.6,32.8,27.7,22.2,69.9,O,주의,X,매우높음
2022-07-02,울릉도(115),X,30.9,30.6,26.6,22.9,70.8,O,주의,X,매우높음
2022-07-02,수원(119),O,33.5,33.7,27.9,23.3,68.8,O,주의,X,매우높음
2022-07-02,영월(121),O,33.1,34.3,26.3,21.2,74,O,주의,X,매우높음
2022-07-02,충주(127),O,33.6,33.7,27.7,22.6,76.1,O,주의,X,매우높음
2022-07-02,서산(129),X,32.5,31.8,26.8,22.5,79.8,O,관심,X,매우높음
2022-07-02,울진(130),X,30.7,30.2,24.6,21.5,77.6,O,주의,X,매우높음
2022-07-02,청주(131),O,34.2,35.4,30.1,25,63.1,O,주의,O,매우높음
2022-07-02,대전(133),O,34.3,35.3,29.6,23.6,65.9,O,주의,O,매우높음
2022-07-02,추풍령(135),X,32.4,33.7,27.3,20.3,66.6,O,주의,X,매우높음
2022-07-02,안동(136),O,34.5,36.3,29.9,21.8,60.9,O,경고,O,매우높음
2022-07-02,상주(137),O,34.8,35.9,28.8,22.2,68.6,O,경고,X,매우높음
2022-07-02,포항(138),O,33,33.3,27.9,24.8,67.4,O,경고,X,매우높음
2022-07-02,군산(140),X,32.2,31.3,27.1,22.7,79.8,O,관심,X,매우높음
2022-07-02,대구(143),O,35,36.8,29.9,22.5,63.9,O,경고,O,매우높음
2022-07-02,전주(146),O,33.7,34.1,28.5,23.4,70.3,O,주의,X,매우높음
2022-07-02,울산(152),X,32.8,33.3,28,22.4,65.4,O,주의,X,매우높음
2022-07-02,창원(155),X,32.9,32.8,27.4,22.9,68.9,O,주의,X,매우높음
2022-07-02,광주(156),O,34.3,34.8,28.5,22.8,76.6,O,주의,X,위험
2022-07-02,부산(159),X,32.3,32.2,27.4,23.8,69.6,O,관심,X,매우높음
2022-07-02,통영(162),O,33.7,34,27.3,22.2,74.6,X, ,X,매우높음
2022-07-02,목포(165),X,32.3,31.9,26.9,22.7,76.3,O,주의,X,매우높음
2022-07-02,여수(168),X,31.3,30.6,26.6,22.9,74.5,O,주의,X,매우높음
2022-07-02,흑산도(169),X,30,28.5,24.7,21,87.9,X,관심,X,위험
2022-07-02,완도(170),X,32.9,32.7,26.5,21.6,77.4,O,주의,X,매우높음
2022-07-02,고창(172),O,33.1,33.2,26.9,20.8,73.6,O,주의,X,매우높음
2022-07-02,제주(184),X,31.6,30.7,27.6,24.5,77.1,O,주의,O,매우높음
2022-07-02,진주(192),O,33.7,33.9,27.3,21.7,77.1,O,주의,X,매우높음
2022-07-02,양평(202),X,32.4,32.6,27.1,21.9,75.6,O,주의,X,매우높음
2022-07-02,이천(203),O,33.9,33.6,27.8,22.1,78,O,주의,X,매우높음
2022-07-02,인제(211),X,32.9,33.3,26.1,21.1,78,O,주의,X,매우높음
2022-07-02,홍천(212),X,32.9,33.6,26.5,21.5,76,O,주의,X,매우높음
2022-07-02,태백(216),X,31.4,33,24.8,17.7,74,X, ,X,매우높음
2022-07-02,정선군(217),X,32.7,34.6,26,20.9,69.9,O,주의,X,매우높음
2022-07-02,제천(221),X,32.9,33.6,26.2,20.2,77.8,O,주의,X,매우높음
2022-07-02,보은(226),X,32.5,33.8,27.4,21.3,73.6,O,주의,X,매우높음
2022-07-02,천안(232),X,32.8,33.5,27.3,21.5,79.4,O,주의,X,매우높음
2022-07-02,보령(235),X,32.2,31.2,26.4,22.8,80.4,O,관심,X,매우높음
2022-07-02,부여(236),O,33.7,34.2,28,22.2,78.9,O,주의,X,매우높음
2022-07-02,금산(238),O,33.5,33.9,27.8,21.8,72.4,O,관심,X,매우높음
2022-07-02,세종(239),O,33.8,34,28.7,23,70,O,주의,X,매우높음
2022-07-02,부안(243),X,32.6,32.1,26.9,22.5,77.3,O,관심,X,매우높음
2022-07-02,임실(244),X,32.4,33,26.7,21,76,O,주의,X,매우높음
2022-07-02,정읍(245),O,33,33.2,27,21.2,73.4,O,주의,X,매우높음
2022-07-02,남원(247),O,33,34.2,27.4,20.7,68.3,O,주의,X,매우높음
2022-07-02,장수(248),X,32,33,25.6,19.3,74,X,관심,X,매우높음
2022-07-02,영광군(252),O,33.1,32.8,26.6,20.8,75.5,O,주의,X,매우높음
2022-07-02,김해시(253),O,33.7,33.9,28.2,22.4,70.3,O,주의,X,매우높음
2022-07-02,순창군(254),O,34.1,35.1,27.3,20,73.5,O,주의,X,매우높음
2022-07-02,양산시(257),O,35.2,35.8,28.7,21.8,65.3,O,주의,X,매우높음
2022-07-02,강진군(259),O,34.2,34.8,27.5,21.1,75.3,O,주의,X,매우높음
2022-07-02,장흥(260),O,33.5,33.4,26.7,20.5,77,O,주의,X,매우높음
2022-07-02,해남(261),O,33.7,34,27.3,20.9,75.1,O,주의,X,매우높음
2022-07-02,고흥(262),X,32.7,32.9,26.7,20.9,76,O,주의,X,매우높음
2022-07-02,의령군(263),O,34.2,35,27.5,20.4,70,O,주의,X,매우높음
2022-07-02,함양군(264),O,33.1,34.3,26.7,19.8,72,O,주의,X,매우높음
2022-07-02,진도군ASOS(268),X,32.6,32.9,26,19.3,76.1,O,주의,X,위험
2022-07-02,봉화(271),X,32.2,32.7,26.1,19.6,73.6,O,주의,X,매우높음
2022-07-02,영주(272),X,32.9,34.1,27.2,20.5,72.4,O,주의,X,매우높음
2022-07-02,문경(273),O,33.3,34.5,27.1,21.3,74.5,O,주의,X,매우높음
2022-07-02,청송군(276),O,33,35.7,27.9,19.4,60.8,O,경고,X,매우높음
2022-07-02,영덕(277),O,33,33.7,27,21.6,67,O,경고,X,매우높음
2022-07-02,의성(278),O,34.6,37.2,29.3,20.6,64.8,O,경고,X,매우높음
2022-07-02,구미(279),O,33.5,35.2,28.7,22.3,64.4,O,경고,X,매우높음
2022-07-02,영천(281),O,33.3,34.7,27.8,20.2,67.9,O,경고,X,매우높음
2022-07-02,경주시(283),O,35.2,35.9,27.7,19.9,69.8,O,경고,X,매우높음
2022-07-02,거창(284),O,33,33.6,27,20.8,74.1,O,주의,X,매우높음
2022-07-02,합천(285),O,33.5,34.8,27.6,21.2,70.3,O,주의,X,매우높음
2022-07-02,밀양(288),O,34.2,36.1,28.4,21.4,62.9,O,주의,X,매우높음
2022-07-02,산청(289),O,34,33.9,27.2,20.6,73.4,O,주의,X,매우높음
2022-07-02,거제(294),X,31.3,31.1,26.1,21.4,74.1,X,관심,X,매우높음
2022-07-02,남해(295),X,32.1,32.4,26.4,21.9,76.9,X,관심,X,매우높음
2022-07-02,부천(433),X,32.6,32.4,27.3,22.7,71,O,주의,X,매우높음
2022-07-02,안양(434),X,28.9,33.4,28.2,24,,O,주의,X,매우높음
2022-07-02,광명(437),O,33.8,34.3,29.3,24.7,67,O,주의,O,매우높음
2022-07-02,군포(438),O,33.6,34.7,28.4,23.1,66,O,주의,X,매우높음
2022-07-02,김포(441),X,,33.4,27.1,22.7,,O,주의,X,매우높음
2022-07-02,하남(444),O,33.5,34,27.2,21.9,73,O,주의,X,매우높음
2022-07-02,의왕(445),X,,,,,,O,주의,X,매우높음
2022-07-02,포천(504),O,33.6,34,27.3,21.6,77,O,주의,X,매우높음
2022-07-02,가평조종(505),O,33.1,33.4,26.5,21.4,80,O,주의,X,매우높음
2022-07-02,안성(516),O,33.4,33.3,27.3,21.8,79,O,주의,X,매우높음
2022-07-02,간성(517),X,32.8,30.7,25.4,20.5,91,O,관심,X,매우높음
2022-07-02,평창(526),X,31.9,34.5,26.4,20.2,66,O,주의,X,매우높음
2022-07-02,의정부(532),O,34,33.3,27.7,22.2,84,O,주의,X,매우높음
2022-07-02,횡성(536),O,33.7,33.5,26.8,20.8,82,O,주의,X,매우높음
2022-07-02,고양(540),O,34.4,34.5,27.6,21.7,74,O,주의,X,매우높음
2022-07-02,남양주(541),O,34.1,34.9,28.2,22,71,O,주의,X,매우높음
2022-07-02,안산(545),X,32.4,31.2,25.8,20.7,84,O,주의,X,매우높음
2022-07-02,경기광주(546),X,32.8,33.1,26.5,21.8,77,O,주의,X,매우높음
2022-07-02,여주(548),X,32.4,32,27.3,22,78,O,주의,X,매우높음
2022-07-02,용인(549),X,32.1,32.6,26.9,21.7,74,O,주의,X,매우높음
2022-07-02,오산(550),X,32.8,33.3,27.6,22.5,69,O,주의,X,매우높음
2022-07-02,평택(551),O,33.9,33.2,28,23.1,80,O,주의,X,매우높음
2022-07-02,화천(555),O,34.7,34.8,26,20.9,84,O,주의,X,매우높음
2022-07-02,양구(556),X,32.6,33.4,26.1,21.7,77,O,주의,X,매우높음
2022-07-02,시흥(565),O,33.6,32.9,27.4,22.3,80,O,주의,X,매우높음
2022-07-02,구리(569),O,33.5,34.9,28.5,22.6,65,O,주의,X,매우높음
2022-07-02,화성(571),X,32.8,31.8,27.2,23.1,80,O,주의,X,매우높음
2022-07-02,성남(572),O,33,33.2,28,22.6,70,O,주의,X,매우높음
2022-07-02,과천(590),O,33.9,34.1,27.6,21.7,77,O,주의,X,매우높음
2022-07-02,양주(598),O,33.2,32.8,27,21.8,80,O,주의,X,매우높음
2022-07-02,단양(601),O,34,35.8,27.5,22.2,72,O,주의,X,매우높음
2022-07-02,진천(602),O,34.2,35.2,28.5,22.6,75,O,주의,X,매우높음
2022-07-02,괴산(603),O,34,34.4,27.3,22.1,79,O,주의,X,매우높음
2022-07-02,옥천(604),O,34.2,35.5,28.5,22.5,72,O,주의,X,매우높음
2022-07-02,홍북(608),O,34.2,33.9,27.1,21.2,82,O,주의,X,매우높음
2022-07-02,공주(612),O,33.8,35.3,28.8,22.3,72,O,주의,X,매우높음
2022-07-02,서천(614),X,32,31.2,26.7,22.4,83,O,관심,X,매우높음
2022-07-02,논산(615),O,33.6,35.1,28.7,22.9,72,O,주의,X,매우높음
2022-07-02,당진(616),X,32,30.6,26.4,22.7,85,O,주의,X,매우높음
2022-07-02,청양(618),O,33.8,32.9,27.1,21.1,82,O,주의,X,매우높음
2022-07-02,음성(619),X,32.9,32.6,26.2,21.5,81,O,주의,X,매우높음
2022-07-02,증평(623),O,33.6,33.5,27.9,21.9,78,O,주의,X,매우높음
2022-07-02,태안(627),O,33.1,31.2,26.5,22.6,87,O,관심,X,매우높음
2022-07-02,예산(628),O,33.1,32.1,27.2,23.1,84,O,주의,X,매우높음
2022-07-02,아산(634),X,32.5,31.6,26.8,23,82,O,주의,X,매우높음
2022-07-02,계룡(636),X,32.9,34,27.2,20.2,68,O,관심,X,매우높음
2022-07-02,연천청산(652),X,,,,,,O,주의,X,매우높음
2022-07-02,양양(670),X,29.8,29.5,25.5,21.3,,O,관심,X,매우높음
2022-07-02,무안(699),O,33,34,26.6,21.1,75,O,주의,X,매우높음
2022-07-02,무주(701),O,33.7,34.9,27.1,21.1,71,O,주의,X,매우높음
2022-07-02,익산(702),O,33.9,33.4,28,23,80,O,주의,X,매우높음
2022-07-02,진안(703),X,32.4,32.9,25.9,19.7,75,O,주의,X,매우높음
2022-07-02,담양(706),O,35.6,36.4,28.3,20.8,77,O,주의,X,매우높음
2022-07-02,구례(709),O,34,34.5,27.3,20.2,75,O,주의,X,매우높음
2022-07-02,나주(710),O,34.2,34.4,27.3,20.2,79,O,주의,X,매우높음
2022-07-02,순천시(712),O,33.9,34.4,28.4,22.3,72,O,주의,X,매우높음
2022-07-02,광양읍(713),O,34.3,35.4,28.4,21.3,64,O,주의,X,매우높음
2022-07-02,장성(730),O,34.1,34.3,26.8,20.2,75,O,주의,X,매우높음
2022-07-02,영암(731),O,34.2,35,27.4,20.4,77,O,주의,X,매우높음
2022-07-02,보성(732),O,34.1,34.2,26.7,20.6,79,O,주의,X,매우높음
2022-07-02,완주(734),O,34.1,33.7,27.3,21.3,78,O,주의,X,매우높음
2022-07-02,김제(737),X,31.8,33.2,27.7,22.9,61,O,주의,X,매우높음
2022-07-02,화순(741),O,34,35.2,27.7,20.1,68,O,주의,X,매우높음
2022-07-02,함평(754),O,33.6,33.7,27,20.8,78,O,주의,X,매우높음
2022-07-02,곡성(768),O,34.4,35.3,27,19.9,73,O,주의,X,매우높음
2022-07-02,압해도(789),O,33.2,33,26.1,21.3,78,O,관심,X,매우높음
2022-07-02,영양(801),O,34.3,36.4,28.5,20.2,67,O,경고,X,매우높음
2022-07-02,성주(810),O,34.5,37,29.2,22,62,O,경고,X,매우높음
2022-07-02,고령(812),O,33.8,35.4,27.7,21.2,73,O,경고,X,매우높음
2022-07-02,청도(813),O,34.2,35.5,27.3,20.3,73,O,경고,X,매우높음
2022-07-02,예천(815),O,33.9,35.8,28.8,21.8,66,O,경고,X,매우높음
2022-07-02,김천(822),O,34.8,36.7,28.2,21.6,72,O,경고,X,매우높음
2022-07-02,군위(823),O,34.9,36.1,29.2,20.6,69,O,경고,X,매우높음
2022-07-02,칠곡(825),O,34.6,36.1,29.4,22.4,67,O,경고,X,매우높음
2022-07-02,경산(827),O,34.3,36.3,29.1,21.7,61,O,경고,X,매우높음
2022-07-02,삼척(876),X,32.2,31.7,27.2,23.5,72,O,주의,X,매우높음
